time,cR
1980,33.85879177
1981,37.0997252
1982,33.56890029
1983,29.31441629
1984,28.87682365
1985,26.99131687
1986,13.93433179
1987,18.13801312
1988,14.60218209
1989,18.07161266
1990,21.73356723
1991,18.72563767
1992,18.20812271
1993,16.13350906
1994,15.53811138
1995,17.14182937
1996,20.61892485
1997,18.48887717
1998,12.06666409
1999,17.27149675
2000,27.7216093
2001,21.99304873
2002,23.71219313
2003,27.72731585
2004,35.89283654
2005,48.88700133
2006,59.04834765
2007,67.18593076
2008,92.57366536
2009,59.03694423
2010,75.82563805
2011,102.5803319
2012,101.086436
